"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"The Garden of Eden Conscious Community for Sustainability, Holistic Living &amp; Humanitarian Works, Powered by Proceeds https://t.co/4lR7DDnGNG",FALSE,1,NA,2016-11-13 14:13:13,FALSE,NA,"797804513755336704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","takingcare",0,FALSE,FALSE,NA,NA
"The community garden at brewer park across from Carleton is mad pretty, wanna grow my own tomatoes too",FALSE,0,NA,2016-11-13 14:08:31,FALSE,NA,"797803332970618881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cestcomplet",0,FALSE,FALSE,NA,NA
"I'm at Nassau Community College in East Garden City, NY https://t.co/Pet22K3OcM",FALSE,0,NA,2016-11-13 14:07:25,FALSE,NA,"797803056817668097",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","MurrayJaclyn",0,FALSE,FALSE,"-73.59282017","40.72842143"
"Create #bird #feeders for your garden! Drop in to Coleshill Community Centre, Sat 3 Dec, 1:30pm to 3:30pm!… https://t.co/xx9B6y6Ntv",FALSE,1,NA,2016-11-13 13:47:01,TRUE,NA,"797797920800182272",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","thetamevalley",0,FALSE,FALSE,NA,NA
"RT @theachegarden: #Leafy November Labyrinth... Before &amp; after raking leaves @pgtimebank #community garden. Lovely feeling of #Wellbeing at…",FALSE,0,NA,2016-11-13 13:42:22,FALSE,NA,"797796753303015424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pgtimebank",1,TRUE,FALSE,NA,NA
"Nomadic Community Garden
.
.
.
.
.
#communitygarden #friends #eastlondon #nomadicgarden @… https://t.co/jxCh5ImAqB",FALSE,0,NA,2016-11-13 13:31:43,FALSE,NA,"797794069107838976",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BecciScotcher",0,FALSE,FALSE,NA,NA
"Dear @FLOTUS @SeatackAADA #gardenbreakfastclub would be honored to host a community garden tour at our school for y… https://t.co/hCSF2iewBu",FALSE,2,NA,2016-11-13 12:42:31,TRUE,NA,"797781688256495616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marietculver",0,FALSE,FALSE,NA,NA
"Heartwarming garden to start your morning.... https://t.co/hgZmtexsbM",FALSE,0,NA,2016-11-13 12:37:47,FALSE,NA,"797780499083173888",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","gardenJess",0,FALSE,FALSE,NA,NA
"The Killenard 1916 community commemoration Garden,  opened this morning and proudly supported by Laois... https://t.co/iUlVhAPn8N",FALSE,0,NA,2016-11-13 12:37:45,FALSE,NA,"797780488802959360",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Laois2016",0,FALSE,FALSE,NA,NA
"The collaboratively designed welcoming mosaic almost ready for Ninewells Community Garden and a fraction of the wid… https://t.co/aGYRbi4BlU",FALSE,1,NA,2016-11-13 12:16:11,TRUE,NA,"797775061939875841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","a_coulshed",0,FALSE,FALSE,NA,NA
