"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#AdaptationFund Side Event at #COP22 today at 6:30-8pm in Pacific Observer Rm 2: ClimateChange Adaptation in Family &amp; Community Agriculture",FALSE,4,NA,2016-11-10 10:35:32,FALSE,NA,"796662570677575680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","adaptationfund",6,FALSE,FALSE,NA,NA
"RT @adaptationfund: AF #COP22 Side Event on Family &amp; Community Agriculture Nov 10 6:30-8pm @ Pacific. Read more &amp; watch the live stream: ht…",FALSE,0,NA,2016-11-10 09:45:19,FALSE,NA,"796649934128824320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ClubRSMOficial",10,TRUE,FALSE,NA,NA
"RT @OSCEdays: How to create #CircularCities? With local currency based on organic waste! https://t.co/18D0stoZFi #OSCEdays #thinkDIF #OpenL…",FALSE,0,NA,2016-11-10 09:36:04,FALSE,NA,"796647605606477824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DigableFab",8,TRUE,FALSE,NA,NA
"RT @OSCEdays: How to create #CircularCities? With local currency based on organic waste! https://t.co/18D0stoZFi #OSCEdays #thinkDIF #OpenL…",FALSE,0,NA,2016-11-10 09:30:12,FALSE,NA,"796646129068867584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OSCEdays",8,TRUE,FALSE,NA,NA
"RT @adaptationfund: AF #COP22 Side Event on Family &amp; Community Agriculture Nov 10 6:30-8pm @ Pacific. Read more &amp; watch the live stream: ht…",FALSE,0,NA,2016-11-10 09:25:10,FALSE,NA,"796644859134099456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gttnetworkm1",10,TRUE,FALSE,NA,NA
"RT @adaptationfund: AF #COP22 Side Event on Family &amp; Community Agriculture Nov 10 6:30-8pm @ Pacific. Read more &amp; watch the live stream: ht…",FALSE,0,NA,2016-11-10 08:56:41,FALSE,NA,"796637694751338496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","triciadesigned",10,TRUE,FALSE,NA,NA
"RT @adaptationfund: AF #COP22 Side Event on Family &amp; Community Agriculture Nov 10 6:30-8pm @ Pacific. Read more &amp; watch the live stream: ht…",FALSE,0,NA,2016-11-10 08:52:32,FALSE,NA,"796636648804974592",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","fariqrosli",10,TRUE,FALSE,NA,NA
"RT @adaptationfund: AF #COP22 Side Event on Family &amp; Community Agriculture Nov 10 6:30-8pm @ Pacific. Read more &amp; watch the live stream: ht…",FALSE,0,NA,2016-11-10 08:52:03,FALSE,NA,"796636528424484868",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UNFCCC",10,TRUE,FALSE,NA,NA
"RT @agcapau: AgCAP brings the community to the farm | AgCAP - Sustainable Investment in Australian Agriculture https://t.co/BPlL8AeaOt",FALSE,0,NA,2016-11-10 08:49:36,FALSE,NA,"796635911698059264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdDunnAg",2,TRUE,FALSE,NA,NA
"RT @agcapau: AgCAP brings the community to the farm | AgCAP - Sustainable Investment in Australian Agriculture https://t.co/BPlL8AeaOt",FALSE,0,NA,2016-11-10 06:20:36,FALSE,NA,"796598411436969984",NA,"<a href=""http://sdaglabs.com/"" rel=""nofollow"">Pesticide_Retweet</a>","SD_Ag_Labs",2,TRUE,FALSE,NA,NA
"AgCAP brings the community to the farm | AgCAP - Sustainable Investment in Australian Agriculture https://t.co/BPlL8AeaOt",FALSE,1,NA,2016-11-10 06:16:30,FALSE,NA,"796597380833546240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","agcapau",2,FALSE,FALSE,NA,NA
